OTHER_INCOME_AMT,AID_REQUEST_SW,ACTIVE_IN_CASE_SW,US_CITIZEN_SW,RESIDENCY_STATE_CD,PROG_CD
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
0,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
50,N,Y,Y,RI,MA
