label,Indiv_id_case_id,id,RULE_TOT_INC_AMT,RULE_AID_REQUEST_SW,RULE_ACTIVE_IN_CASE_SW,US_CITIZEN_SW,RULE_RESIDENCY_STATE_CD,PROG_CD,
0,243040_429688,0,0,1,1,1,1,1,5
1,243040_429688,1,0,1,1,1,1,1,6
2,243040_429688,1,0,0,1,1,1,1,5
3,243040_429688,1,1,0,1,1,1,1,6
4,243040_429688,1,0,0,1,1,1,1,5
5,243040_429688,0,0,0,1,1,1,1,4
6,243040_429688,1,0,1,1,1,1,1,6
7,243040_429688,1,0,0,1,1,1,1,5
8,243040_429688,1,1,0,1,1,1,1,6
9,243040_429688,1,0,0,1,1,1,1,5
10,243040_429711,0,0,0,1,1,1,1,4
11,243040_429711,1,1,1,1,1,1,1,7
12,243040_429711,1,0,0,1,1,1,1,5
13,243040_429711,1,1,0,1,1,1,1,6
14,243040_429711,1,0,0,1,1,1,1,5
15,243040_429711,0,1,0,1,1,1,1,5
16,243040_429711,1,1,1,1,1,1,1,7
17,243040_429711,1,1,0,1,1,1,1,6
18,243040_429711,1,0,0,1,1,1,1,5
19,500853788_1000683107,0,0,1,1,1,1,1,5
20,500853788_1000683107,1,1,1,1,1,1,1,7
21,500853788_1000683107,1,0,1,1,1,1,1,6
22,500853788_1000683107,1,0,1,1,1,1,1,6
23,500853788_1000683107,1,0,1,1,1,1,1,6
24,500853788_1000683107,0,0,1,1,1,1,1,5
25,500853788_1000683107,1,1,1,1,1,1,1,7
26,500853788_1000683107,1,0,1,1,1,1,1,6
27,500853788_1000683107,1,1,1,1,1,1,1,7
28,500853788_1000683107,1,1,1,1,1,1,1,7
29,500853788_1000683107,0,0,1,1,1,1,1,5
30,500853788_1000683107,1,0,1,1,1,1,1,6
31,500853788_1000683107,1,1,1,1,1,1,1,7
32,500853788_1000683107,1,1,1,1,1,1,1,7
33,500853788_1000683623,0,1,1,1,1,1,1,6
34,500853788_1000683623,1,1,1,1,1,1,1,7
35,500853788_1000683623,1,1,1,1,0,1,1,6
36,500853788_1000683623,1,1,1,1,0,1,1,6
37,500853788_1000683623,0,1,1,1,1,1,1,6
38,500853788_1000683623,1,1,1,1,1,1,1,7
39,500853788_1000683623,1,1,1,1,0,1,1,6
40,500853788_1000683623,1,1,1,1,1,1,1,7
41,500853788_1000683623,1,1,1,1,0,1,1,6
42,500853788_1000683623,0,1,1,1,1,1,1,6
43,500853788_1000683623,1,1,1,1,1,1,1,7
44,500853788_1000683623,1,1,1,1,0,1,1,6
45,775024350_304191,0,1,1,1,1,1,1,6
46,775024350_304191,1,1,1,1,1,0,1,6
47,775024350_304191,1,1,1,1,1,0,1,6
48,775024350_304191,1,0,1,1,1,1,1,6
49,775024350_304191,1,1,1,1,1,1,1,7
50,775024350_304191,0,0,1,1,1,1,1,5
51,775024350_304191,1,1,1,1,1,0,1,6
52,775024350_304191,1,1,1,1,1,0,1,6
53,775024350_304191,1,1,1,1,1,1,1,7
54,775024350_304191,1,0,1,1,1,1,1,6
55,775024350_304191,0,0,1,1,1,1,1,5
56,775024350_304191,1,1,1,1,1,0,1,6
57,775024350_304191,1,1,1,1,1,0,1,6
58,775024350_304191,1,1,1,1,1,1,1,7
59,775024350_304191,1,1,1,1,1,1,1,7
60,775024350_304191,0,1,1,1,1,1,1,6
61,775024350_304191,1,1,1,1,1,0,1,6
62,775024350_304191,1,1,1,1,1,1,1,7
63,775024350_304191,1,1,1,1,1,1,1,7
64,775024350_304191,1,1,0,0,1,0,1,4
