label,Indiv_id_case_id,id,RULE_TOT_INC_AMT,RULE_AID_REQUEST_SW,RULE_ACTIVE_IN_CASE_SW,US_CITIZEN_SW,RULE_RESIDENCY_STATE_CD,PROG_CD,Unnamed: 9,x-tsne,y-tsne
0,243040_429688,0,0,1,1,1,1,1,5,-6.193265914916992,-1.4713268280029297
1,243040_429688,1,0,1,1,1,1,1,6,-7.239187717437744,6.269520282745361
2,243040_429688,1,0,0,1,1,1,1,5,-3.1183290481567383,3.212848663330078
3,243040_429688,1,1,0,1,1,1,1,6,-8.971964836120605,2.118734359741211
4,243040_429688,1,0,0,1,1,1,1,5,-4.299715995788574,8.58854866027832
5,243040_429688,0,0,0,1,1,1,1,4,-9.709202766418457,4.200717449188232
6,243040_429688,1,0,1,1,1,1,1,6,-7.963739395141602,3.683831214904785
7,243040_429688,1,0,0,1,1,1,1,5,-7.567063808441162,7.954776763916016
8,243040_429688,1,1,0,1,1,1,1,6,1.0942230224609375,6.813141822814941
9,243040_429688,1,0,0,1,1,1,1,5,-8.50735092163086,0.8731017112731934
10,243040_429711,0,0,0,1,1,1,1,4,-11.513167381286621,3.922114849090576
11,243040_429711,1,1,1,1,1,1,1,7,-0.2966146469116211,5.2579426765441895
12,243040_429711,1,0,0,1,1,1,1,5,-8.923744201660156,4.118415355682373
13,243040_429711,1,1,0,1,1,1,1,6,-8.543636322021484,3.2444114685058594
14,243040_429711,1,0,0,1,1,1,1,5,-15.068553924560547,3.232921600341797
15,243040_429711,0,1,0,1,1,1,1,5,-3.1807451248168945,7.871861934661865
16,243040_429711,1,1,1,1,1,1,1,7,-13.15530776977539,13.67024040222168
17,243040_429711,1,1,0,1,1,1,1,6,-6.639538288116455,6.556606292724609
18,243040_429711,1,0,0,1,1,1,1,5,-8.11587142944336,1.799128532409668
19,500853788_1000683107,0,0,1,1,1,1,1,5,20.198406219482422,-4.867380142211914
20,500853788_1000683107,1,1,1,1,1,1,1,7,18.37489891052246,-8.238688468933105
21,500853788_1000683107,1,0,1,1,1,1,1,6,13.741440773010254,-6.465847969055176
22,500853788_1000683107,1,0,1,1,1,1,1,6,18.131959915161133,-2.808429479598999
23,500853788_1000683107,1,0,1,1,1,1,1,6,19.135448455810547,-8.244331359863281
24,500853788_1000683107,0,0,1,1,1,1,1,5,16.045564651489258,-7.216389179229736
25,500853788_1000683107,1,1,1,1,1,1,1,7,17.948802947998047,-4.64237117767334
26,500853788_1000683107,1,0,1,1,1,1,1,6,18.240543365478516,-7.380289554595947
27,500853788_1000683107,1,1,1,1,1,1,1,7,14.226478576660156,-7.2688493728637695
28,500853788_1000683107,1,1,1,1,1,1,1,7,20.121097564697266,-9.508790969848633
29,500853788_1000683107,0,0,1,1,1,1,1,5,19.201488494873047,-8.199596405029297
30,500853788_1000683107,1,0,1,1,1,1,1,6,17.927906036376953,-7.705548286437988
31,500853788_1000683107,1,1,1,1,1,1,1,7,25.018306732177734,-6.130846977233887
32,500853788_1000683107,1,1,1,1,1,1,1,7,32.19416427612305,-3.6641597747802734
33,500853788_1000683623,0,1,1,1,1,1,1,6,20.054704666137695,-8.673454284667969
34,500853788_1000683623,1,1,1,1,1,1,1,7,18.69327735900879,-8.428614616394043
35,500853788_1000683623,1,1,1,1,0,1,1,6,14.20541000366211,-6.7707295417785645
36,500853788_1000683623,1,1,1,1,0,1,1,6,20.431629180908203,-7.344369411468506
37,500853788_1000683623,0,1,1,1,1,1,1,6,17.310352325439453,-4.32163143157959
38,500853788_1000683623,1,1,1,1,1,1,1,7,19.030258178710938,-7.094626426696777
39,500853788_1000683623,1,1,1,1,0,1,1,6,19.27488899230957,1.708038330078125
40,500853788_1000683623,1,1,1,1,1,1,1,7,18.451881408691406,-11.019213676452637
41,500853788_1000683623,1,1,1,1,0,1,1,6,27.235397338867188,-6.461151123046875
42,500853788_1000683623,0,1,1,1,1,1,1,6,17.551223754882812,-16.142683029174805
43,500853788_1000683623,1,1,1,1,1,1,1,7,21.30335807800293,-9.913984298706055
44,500853788_1000683623,1,1,1,1,0,1,1,6,20.201507568359375,-7.4088850021362305
